Age,Sex,Height,Weight,Job,ExerciseFrequency,ExerciseToughness,Necessary Screen Time,ProductiveScreenTime,SocialMedia,VideoGames,OnlineShopping,Binge Watching,Ebooks,OptimumScreenTime,NumberOfDevices ,HumanInteraction,sleep
young,Female,1.6,44,"Science and Technology;Health Care;Academic (Professor , Teachers , etc);Design and Architecture;Student;Primary sector (raw material based industry like Agriculture , Mining , etc);Social media based industry ( instagram influencer , youtuber , etc )",rarely,1,2,2,1,0,0,0,2,7,2,2,6 to 8 hours
young,Female,1.651,105,Science and Technology,6 days a week,10,5,3,2,1,0,2,0,3,2,1,6 to 8 hours
young,Female,1.5243,74,Student,rarely,3,8,3,1,0,0,1,0,3,2,3,6 to 8 hours
young,Male,1.702,60,Science and Technology;Management and Administration;Student,Once every day,6,5,4,3,1,0,2,0,2,4,4,6 to 8 hours
young,Male,1.829,75,Science and Technology;Student,Once every day,7,6,3,4,1,1,2,1,5,2,4,6 to 8 hours
old,Female,1.626,50,Health Care,rarely,0,8,6,4,0,1,5,0,6,3,4,6 to 8 hours
old,Female,1.626,55,Health Care,Once every day,6,5,1,0,0,1,2,0,4,2,6,6 to 8 hours
young,Male,1.829,80,Legal,Once every day,4,6,1,0,0,0,2,1,4,2,8,6 to 8 hours
old,Female,1.524,43,Design and Architecture,3 to 5 days a week,3,6,1,4,0,0,4,0,6,2,3,more than 8 hours
young,Male,1.727,60,fitness industry,Twice a day,10,1,1,4,2,2,5,1,6,1,8,6 to 8 hours
young,Female,1.651,53,Student,3 to 5 days a week,5,10,6,2,0,1,1,0,9,3,6,6 to 8 hours
old,Male,1.5241,70,Bureaucracy,once a week,3,7,4,2,0,1,2,0,5,3,7,less than 6 hours
young,Female,1.727,55,Science and Technology;Student,Once every day,2,8,5,4,1,1,2,1,7,4,4,6 to 8 hours
young,Female,1.651,75,Student,rarely,6,10,8,9,9,9,9,10,9,5,2,less than 6 hours
young,Female,1.6,47,"Glamour industry (modelling , acting , music , etc);Social media based industry ( instagram influencer , youtuber , etc )",Twice a day,6,6,1,6,0,2,2,0,4,3,1,more than 8 hours
teen,Female,1.651,55,Hospitality and Service,3 to 5 days a week,4,1,1,6,1,1,5,0,5,1,8,6 to 8 hours
young,Male,1.702,61.5,Student,Once every day,5,8,5,1,0,0,1,1,8,4,1,6 to 8 hours
young,Male,1.778,68,Student,Only on week-ends ( or 2 days a week),5,9,6,1,2,0,1,0,5,2,6,6 to 8 hours
teen,Female,1.6,64,Student,3 to 5 days a week,8,6,3,3,0,0,1,1,2,3,2,6 to 8 hours
young,Female,1.727,55,Student,rarely,1,6,4,2,0,1,2,1,4,3,8,6 to 8 hours
young,Male,1.778,80,Science and Technology,3 to 5 days a week,5,8,6,3,0,1,3,2,8,2,3,6 to 8 hours
old,Female,1.575,50,Finance,once a week,2,6,5,6,0,2,5,0,6,3,1,less than 6 hours
young,Male,1.5249,72,Science and Technology;Student,rarely,3,3,1,2,1,0,1,0,1,5,8,6 to 8 hours
young,Male,1.778,75,Science and Technology,Only on week-ends ( or 2 days a week),5,6,3,3,1,0,1,1,6,2,1,less than 6 hours
young,Female,1.626,65,Science and Technology;Student,Once every day,4,8,5,2,0,0,3,1,5,3,2,less than 6 hours
young,Male,1.702,56,Student,rarely,1,8,3,3,2,0,2,0,5,3,4,6 to 8 hours
teen,Male,1.5249,83,Student,rarely,3,9,6,1,0,0,3,1,3,2,2,6 to 8 hours
teen,Female,1.499,43,Science and Technology,3 to 5 days a week,5,9,8,2,0,0,2,3,4,2,7,6 to 8 hours
young,Female,1.5241,55,"Marketing;Freelancer;Social media based industry ( instagram influencer , youtuber , etc )",Once every day,5,8,1,2,0,1,3,0,4,2,5,more than 8 hours
young,Female,1.524,45,Legal;Student,once a week,1,4,2,1,0,3,5,2,6,2,6,6 to 8 hours
young,Female,1.524,50,Science and Technology;Student,never,0,5,1,4,2,2,6,1,6,4,2,less than 6 hours
old,Female,1.5241,60,Management and Administration,3 to 5 days a week,2,5,2,0,0,0,6,2,6,2,5,6 to 8 hours
old,Female,1.676,50,Health Care,Once every day,5,4,2,1,0,1,3,1,6,2,6,6 to 8 hours
young,Female,1.524,64,Science and Technology,rarely,2,8,2,1,0,0,1,1,3,3,6,6 to 8 hours
young,Male,1.8292,70,Science and Technology,6 days a week,9,3,2,2,0,1,4,0,9,3,4,less than 6 hours
young,Female,1.524,50,Finance,Only on week-ends ( or 2 days a week),1,7,3,5,2,3,6,2,8,4,4,less than 6 hours
young,Female,1.6,76,Science and Technology;Student,Once every day,7,10,5,5,0,0,6,0,3,2,7,6 to 8 hours
young,Female,1.651,53,Science and Technology;Student,rarely,1,2,1,2,0,1,1,1,2,2,2,6 to 8 hours
young,Female,1.676,55,Science and Technology;Student,Once every day,5,6,1,2,1,1,4,0,5,3,3,6 to 8 hours
young,Female,1.626,50,Student,Only on week-ends ( or 2 days a week),4,10,9,1,0,0,0,1,8,2,4,6 to 8 hours
young,Female,1.5244,51,Science and Technology,rarely,4,10,2,5,2,1,2,2,3,3,2,less than 6 hours
young,Female,1.5241,55,Student,Once every day,2,7,3,0,0,0,2,1,10,1,2,6 to 8 hours
young,Female,5.7,65,Student,rarely,5,8,6,3,2,1,4,1,2,2,3,6 to 8 hours
teen,Female,1.676,85,Student;Freelancer,rarely,3,10,5,4,0,0,3,2,6,2,10,6 to 8 hours
young,Female,1.626,53,Science and Technology;Student,rarely,1,10,9,1,0,0,1,0,10,2,1,6 to 8 hours
teen,Female,1.6,72,Student,3 to 5 days a week,8,8,5,4,0,0,1,1,4,5,2,6 to 8 hours
teen,Female,1.524,50,"Science and Technology;Finance;Legal;Management and Administration;Student;Freelancer;Social media based industry ( instagram influencer , youtuber , etc )",rarely,3,4,4,2,0,0,1,0,9,2,2,6 to 8 hours
young,Female,5,45,Science and Technology,rarely,1,6,6,5,6,5,6,6,6,5,5,less than 6 hours
young,Female,1.6,76,Student,Only on week-ends ( or 2 days a week),7,9,7,2,0,1,2,1,6,3,3,6 to 8 hours
young,Female,1.524,46,"Hospitality and Service;Glamour industry (modelling , acting , music , etc);Social media based industry ( instagram influencer , youtuber , etc )",Twice a day,6,5,1,1,0,1,2,0,6,2,6,6 to 8 hours
young,Female,1.702,55,Student,never,0,10,10,1,1,1,1,1,5,2,1,6 to 8 hours
young,Female,1.549,65,Science and Technology;Student,never,1,7,3,1,0,1,1,0,5,4,2,6 to 8 hours
teen,Female,1.651,63,Science and Technology;Management and Administration;Student,Once every day,7,10,8,2,0,0,1,0,1,4,1,less than 6 hours
young,Female,1.676,65,Marketing;Student,once a week,1,6,2,5,0,2,6,0,7,3,6,more than 8 hours
teen,Female,1.5249,59,"Science and Technology;Marketing;Academic (Professor , Teachers , etc);Student",3 to 5 days a week,7,8,7,1,0,0,0,2,3,2,4,6 to 8 hours
young,Female,1.575,47,Management and Administration;Student,Once every day,4,5,2,1,0,1,2,0,5,2,5,more than 8 hours
young,Female,1.575,75,Student,3 to 5 days a week,7,10,3,4,1,0,3,0,5,5,5,more than 8 hours
young,Female,1.5244,46,Science and Technology,6 days a week,5,10,10,1,2,0,2,3,5,4,4,6 to 8 hours
young,Female,1.6,50,Legal;Student,once a week,5,5,2,2,0,2,2,1,5,2,7,6 to 8 hours
old,Female,1.626,65,Design and Architecture,never,0,6,2,3,0,2,4,0,6,3,2,less than 6 hours
young,Female,1.524,50,Health Care,Once every day,6,4,1,0,0,1,4,0,4,1,6,more than 8 hours
old,Female,1.524,47,Marketing,3 to 5 days a week,3,6,2,5,0,2,7,3,7,3,5,less than 6 hours
